"Unit";"Level";"TERYT";"Constituency";"List";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Citizenship";"Sex";"Age";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Endorsement";"Statement";"Elected";"Votes quantity";"Votes percent in constituency"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"10";"Biegański";"Przemysław";"PL";"M";"26";"046101";"kujawsko-pomorskie";"Bydgoszcz";;;"N";"340";"0,32"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"7";"Dudziak";"Jacek Kazimierz";"PL";"M";"48";"040308";"kujawsko-pomorskie";"Solec Kujawski";;;"N";"328";"0,31"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"4";"Duliński";"Sławomir Piotr";"PL";"M";"58";"046101";"kujawsko-pomorskie";"Bydgoszcz";;;"N";"666";"0,62"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"12";"Feldheim";"Helena Zofia";"PL";"K";"73";"046101";"kujawsko-pomorskie";"Bydgoszcz";;;"N";"1004";"0,94"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"1";"Krzyżanowska";"Elżbieta";"PL";"K";"56";"046101";"kujawsko-pomorskie";"Bydgoszcz";;;"T";"15040";"14,07"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"2";"Łapińska";"Ewa";"PL";"K";"59";"046101";"kujawsko-pomorskie";"Bydgoszcz";;;"T";"2333";"2,18"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"3";"Niemielewski";"Norbert Franciszek";"PL";"M";"47";"040304";"kujawsko-pomorskie";"Gościeradz";;;"N";"587";"0,55"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"5";"Piotrowska-Kuraś";"Ewa Hanna";"PL";"K";"58";"040306";"kujawsko-pomorskie";"Osielsko";;;"N";"779";"0,73"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"9";"Rogowski";"Dawid";"PL";"M";"25";"046101";"kujawsko-pomorskie";"Bydgoszcz";;;"N";"406";"0,38"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"8";"Sikorski";"Grzegorz";"PL";"M";"61";"046301";"kujawsko-pomorskie";"Toruń";;;"N";"833";"0,78"
"kujawsko-pomorskie";"sejmik";"040000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"11";"Tyloch";"Janusz Ferdynand";"PL";"M";"54";"046101";"kujawsko-pomorskie";"Bydgoszcz";;;"N";"597";"0,56"
