"Unit";"Level";"TERYT";"Constituency";"List";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Citizenship";"Sex";"Age";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Endorsement";"Statement";"Elected";"Votes quantity";"Votes percent in constituency"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"4";"Aszkiełowicz";"Mieczysław";"PL";"M";"53";"281407";"warmińsko-mazurskie";"Jonkowo";;;"N";"1626";"1,71"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"9";"Baranowska";"Halina Teresa";"PL";"K";"49";"281410";"warmińsko-mazurskie";"Purda";;;"N";"883";"0,93"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"5";"Chlebus";"Sławomir Waldemar";"PL";"M";"60";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"266";"0,28"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"11";"Kotlarska";"Małgorzata Irena";"PL";"K";"50";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"573";"0,60"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"3";"Kowalewski";"Bogusław";"PL";"M";"49";"281409";"warmińsko-mazurskie";"Waszeta";;;"N";"1322";"1,39"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"7";"Kowalski";"Piotr";"PL";"M";"60";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"574";"0,60"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"1";"Kulasek";"Marcin Robert";"PL";"M";"34";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"3063";"3,23"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"6";"Lewicki";"Marian";"PL";"M";"50";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"375";"0,40"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"2";"Nalazek";"Ireneusz Mariusz";"PL";"M";"49";"281411";"warmińsko-mazurskie";"Stawiguda";;;"N";"2109";"2,22"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"12";"Ryński";"Andrzej Wiesław";"PL";"M";"52";"286201";"warmińsko-mazurskie";"Olsztyn";;;"T";"7249";"7,64"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"10";"Smolis";"Leszek Karol";"PL";"M";"52";"281402";"warmińsko-mazurskie";"Biskupiec";;;"N";"484";"0,51"
"warmińsko-mazurskie";"sejmik";"280000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"8";"Witczak";"Tomasz Wojciech";"PL";"M";"53";"281401";"warmińsko-mazurskie";"Bogdany";;;"N";"259";"0,27"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"3";"Bronakowska";"Elżbieta Anna";"PL";"K";"56";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"1797";"1,89"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"4";"Gołaszewski";"Janusz";"PL";"M";"53";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"490";"0,52"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"2";"Grzymowicz";"Krzysztof";"PL";"M";"23";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"1765";"1,86"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"5";"Jaworski";"Zbigniew";"PL";"M";"53";"281412";"warmińsko-mazurskie";"Drzazgi";;;"N";"601";"0,63"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"6";"Malarkiewicz";"Jan Adam";"PL";"M";"56";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"464";"0,49"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"7";"Malec";"Teresa Czesława";"PL";"K";"58";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"719";"0,76"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"8";"Marcinkiewicz";"Teodozy Jerzy";"PL";"M";"62";"281411";"warmińsko-mazurskie";"Bartążek";;;"N";"812";"0,86"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"1";"Pasławska";"Urszula Stefania";"PL";"K";"33";"281402";"warmińsko-mazurskie";"Biskupiec";;;"T";"8193";"8,63"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"12";"Sobina";"Wojciech";"PL";"M";"66";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"433";"0,46"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"9";"Szlaski";"Alfred Włodzimierz";"PL";"M";"58";"286201";"warmińsko-mazurskie";"Olsztyn";;;"N";"906";"0,95"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"10";"Szter";"Marek Andrzej";"PL";"M";"54";"281401";"warmińsko-mazurskie";"Kaplityny";;;"N";"1414";"1,49"
"warmińsko-mazurskie";"sejmik";"280000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"11";"Trzaskowski";"Stanisław Grzegorz";"PL";"M";"60";"281403";"warmińsko-mazurskie";"Dobre Miasto";;;"N";"1479";"1,56"
"warmińsko-mazurskie";"sejmik";"280000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"5";"Banaś";"Dorota";"PL";"K";"30";"280205";"warmińsko-mazurskie";"Kierpajny Wielkie";;;"N";"178";"0,19"
"warmińsko-mazurskie";"sejmik";"280000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"2";"Bukowska";"Weronika Joanna";"PL";"K";"18";"281409";"warmińsko-mazurskie";"Olsztynek";;;"N";"182";"0,19"
"warmińsko-mazurskie";"sejmik";"280000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"1";"Mazur";"Mateusz Andrzej";"PL";"M";"24";"281410";"warmińsko-mazurskie";"Pajtuny";;;"N";"357";"0,38"
"warmińsko-mazurskie";"sejmik";"280000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"4";"Rydzewski";"Mirosław";"PL";"M";"55";"280501";"warmińsko-mazurskie";"Ełk";;;"N";"107";"0,11"
"warmińsko-mazurskie";"sejmik";"280000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"3";"Wójcik";"Wioleta";"PL";"K";"26";"280409";"warmińsko-mazurskie";"Tolkmicko";;;"N";"230";"0,24"
"warmińsko-mazurskie";"sejmik";"280000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"6";"Zajdzińska";"Agnieszka Anna";"PL";"K";"22";"280409";"warmińsko-mazurskie";"Tolkmicko";;;"N";"82";"0,09"
