"Unit";"Level";"TERYT";"Constituency";"List";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Citizenship";"Sex";"Age";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Endorsement";"Statement";"Elected";"Votes quantity";"Votes percent in constituency"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"4";"Drosik";"Kazimierz Wojciech";"PL";"M";"61";"166101";"opolskie";"Opole";;;"N";"958";"1,34"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"9";"Grzymała";"Sylwia Izabela";"PL";"K";"33";"166101";"opolskie";"Opole";;;"N";"224";"0,31"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"6";"Koćwin";"Sebastian";"PL";"M";"27";"166101";"opolskie";"Opole";;;"N";"199";"0,28"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"12";"Kopij";"Jarosław Stanisław";"PL";"M";"51";"160907";"opolskie";"Tłustoręby";;"złożył następujące oświadczenie: byłem współpracownikiem organów bezpieczeństwa państwa w rozumieniu ustawy z dnia ustawy z dnia 18 października 2006 r. o ujawnianiu informacji o dokumentach organów bezpieczeństwa państwa z lat 1944-1990 oraz treści tych dokumentów (Dz. U z 2007 r. Nr 63, poz. 425, z późn. zm.)";"N";"684";"0,96"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"11";"Krawczyk";"Eugeniusz Jan";"PL";"M";"49";"160909";"opolskie";"Stare Siołkowice";;;"N";"220";"0,31"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"5";"Lenart-Juszczewska";"Krystyna Maria";"PL";"K";"66";"166101";"opolskie";"Opole";;;"N";"427";"0,60"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"8";"Mosoń";"Małgorzata Jolanta";"PL";"K";"39";"166101";"opolskie";"Opole";;;"N";"222";"0,31"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"1";"Namysło";"Andrzej Józef";"PL";"M";"65";"166101";"opolskie";"Opole";;;"T";"5004";"6,99"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"14";"Pająk";"Krzysztof";"PL";"M";"51";"166101";"opolskie";"Opole";;;"N";"821";"1,15"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"13";"Pawliszyn";"Danuta";"PL";"K";"64";"166101";"opolskie";"Opole";;;"N";"634";"0,89"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"7";"Sałatyński";"Bogusław Jan";"PL";"M";"52";"166101";"opolskie";"Opole";;"złożył następujące oświadczenie: pracowałem i pełniłem służbę w organach bezpieczeństwa państwa w rozumieniu ustawy z dnia ustawy z dnia 18 października 2006 r. o ujawnianiu informacji o dokumentach organów bezpieczeństwa państwa z lat 1944-1990 oraz treści tych dokumentów (Dz. U z 2007 r. Nr 63, poz. 425, z późn. zm.)";"N";"361";"0,50"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"10";"Sekula";"Agnieszka Urszula";"PL";"K";"24";"166101";"opolskie";"Opole";;;"N";"481";"0,67"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"2";"Słodczyk";"Krystyna";"PL";"K";"59";"166101";"opolskie";"Opole";;;"N";"1264";"1,77"
"opolskie";"sejmik";"160000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"3";"Sobiborowicz";"Wanda";"PL";"K";"59";"160701";"opolskie";"Jarnołtówek";;;"N";"370";"0,52"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"6";"Komorowska-Osoba";"Grażyna";"PL";"K";"55";"166101";"opolskie";"Opole";;;"N";"435";"0,61"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"8";"Kościuk";"Andrzej Marian";"PL";"M";"57";"160904";"opolskie";"Ochodze";;;"N";"122";"0,17"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"1";"Kowalczyk";"Jarosław Paweł";"PL";"M";"35";"160902";"opolskie";"Skarbiszów";;;"N";"1080";"1,51"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"3";"Krzesiński";"Jan";"PL";"M";"58";"160907";"opolskie";"Niemodlin";;;"N";"911";"1,27"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"12";"Mazurek";"Michał Maciej";"PL";"M";"27";"166101";"opolskie";"Opole";;;"N";"138";"0,19"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"2";"Nabrdalik";"Halina Maria";"PL";"K";"59";"160905";"opolskie";"Luboszyce";;;"N";"618";"0,86"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"4";"Pieroń";"Krzysztof Janusz";"PL";"M";"50";"166101";"opolskie";"Opole";;;"N";"152";"0,21"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"11";"Plotnik";"Józef";"PL";"M";"59";"160905";"opolskie";"Luboszyce";;;"N";"199";"0,28"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"7";"Politowicz";"Konrad Andrzej";"PL";"M";"32";"166101";"opolskie";"Opole";;;"N";"55";"0,08"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"14";"Sawczuk";"Janusz Ryszard";"PL";"M";"66";"166101";"opolskie";"Opole";;;"N";"131";"0,18"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"5";"Szerner";"Łukasz Ryszard";"PL";"M";"24";"166101";"opolskie";"Opole";;;"N";"138";"0,19"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"10";"Świerc";"Henryk Wojciech";"PL";"M";"63";"166101";"opolskie";"Opole";;;"N";"176";"0,25"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"13";"Walas";"Jacek Henryk";"PL";"M";"49";"160907";"opolskie";"Gracze";;;"N";"198";"0,28"
"opolskie";"sejmik";"160000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"9";"Wierny";"Henryk";"PL";"M";"63";"166101";"opolskie";"Opole";;;"N";"284";"0,40"
"opolskie";"sejmik";"160000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"5";"Falińska";"Ewa Agata";"PL";"K";"36";"161004";"opolskie";"Prudnik";;;"N";"97";"0,14"
"opolskie";"sejmik";"160000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"7";"Jankowska";"Aleksandra Marta";"PL";"K";"20";"161004";"opolskie";"Niemysłowice";;;"N";"98";"0,14"
"opolskie";"sejmik";"160000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"9";"Niwergol";"Gertruda Ewa";"PL";"K";"56";"160901";"opolskie";"Daniec";;;"N";"228";"0,32"
"opolskie";"sejmik";"160000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"2";"Rychlikowski";"Michał Paweł";"PL";"M";"24";"160901";"opolskie";"Suchy Bór";;;"N";"82";"0,11"
"opolskie";"sejmik";"160000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"6";"Sacha";"Emilia Alina";"PL";"K";"30";"161001";"opolskie";"Biała";;;"N";"103";"0,14"
"opolskie";"sejmik";"160000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"1";"Skibiński";"Mirosław Krzysztof";"PL";"M";"23";"166101";"opolskie";"Opole";;;"N";"231";"0,32"
"opolskie";"sejmik";"160000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"4";"Sytnik";"Kamila Katarzyna";"PL";"K";"25";"160704";"opolskie";"Bielice";;;"N";"72";"0,10"
"opolskie";"sejmik";"160000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"3";"Telicka";"Joanna";"PL";"K";"22";"160706";"opolskie";"Rysiowice";;;"N";"96";"0,13"
"opolskie";"sejmik";"160000";"1";"3";"KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80";"ZPOW-7500-5/10";"partia";"8";"Tokarski";"Mariusz Stanisław";"PL";"M";"24";"161001";"opolskie";"Biała";;;"N";"65";"0,09"
"opolskie";"sejmik";"160000";"1";"4";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"7";"Bul";"Arnold";"PL";"M";"41";"160908";"opolskie";"Ozimek";;;"N";"1419";"1,98"
"opolskie";"sejmik";"160000";"1";"4";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"8";"Bunio";"Andrzej Marek";"PL";"M";"44";"166101";"opolskie";"Opole";;;"N";"778";"1,09"
"opolskie";"sejmik";"160000";"1";"4";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"13";"Kansy";"Sebastian";"PL";"M";"21";"160905";"opolskie";"Jełowa";;;"N";"994";"1,39"
"opolskie";"sejmik";"160000";"1";"4";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"14";"Kąciak";"Dariusz Ryszard";"PL";"M";"43";"166101";"opolskie";"Opole";;;"N";"670";"0,94"
