"Unit";"Level";"TERYT";"Constituency";"List";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Citizenship";"Sex";"Age";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Endorsement";"Statement";"Elected";"Votes quantity";"Votes percent in constituency"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"4";"Bajerowski";"Edward";"PL";"M";"54";"220303";"pomorskie";"Rychnowy";;;"N";"542";"0,34"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"2";"Barbarowicz";"Jerzy Józef";"PL";"M";"58";"226301";"pomorskie";"Słupsk";;;"N";"3855";"2,42"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"10";"Berendt";"Jerzy Adam";"PL";"M";"67";"226301";"pomorskie";"Słupsk";;;"N";"613";"0,38"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"6";"Boba";"Hubert Piotr";"PL";"M";"40";"226301";"pomorskie";"Słupsk";;;"N";"1484";"0,93"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"1";"Gontarek";"Piotr Paweł";"PL";"M";"60";"220801";"pomorskie";"Lębork";;;"T";"8625";"5,42"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"11";"Graj";"Waldemar";"PL";"M";"46";"221204";"pomorskie";"Główczyce";;;"N";"724";"0,45"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"5";"Jakubiak";"Robert Artur";"PL";"M";"39";"226301";"pomorskie";"Słupsk";;;"N";"1376";"0,86"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"7";"Klamrowska";"Małgorzata Anna";"PL";"K";"46";"220801";"pomorskie";"Lębork";;;"N";"1242";"0,78"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"8";"Kozłowski";"Wacław Aleksander";"PL";"M";"54";"220104";"pomorskie";"Kołczygłowy";;;"N";"1766";"1,11"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"9";"Szczotkowski";"Andrzej";"PL";"M";"62";"226301";"pomorskie";"Słupsk";;;"N";"383";"0,24"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"12";"Włodyka";"Mieczysław";"PL";"M";"61";"221206";"pomorskie";"Kobylnica";;;"N";"1171";"0,74"
"pomorskie";"sejmik";"220000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"3";"Woźniak";"Teresa";"PL";"K";"58";"220304";"pomorskie";"Debrzno";;;"N";"3269";"2,05"
"pomorskie";"sejmik";"220000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"1";"Batruch";"Mirosław";"PL";"M";"64";"220106";"pomorskie";"Miastko";;;"T";"5911";"3,71"
"pomorskie";"sejmik";"220000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"6";"Chałubiński";"Janusz Franciszek";"PL";"M";"63";"220801";"pomorskie";"Lębork";;;"N";"905";"0,57"
"pomorskie";"sejmik";"220000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"2";"Chlebowicz";"Jerzy Jan";"PL";"M";"54";"220201";"pomorskie";"Chojnice";;;"N";"1672";"1,05"
"pomorskie";"sejmik";"220000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"4";"Czapiewski";"Antoni Filip";"PL";"M";"29";"220204";"pomorskie";"Łubna";;;"N";"1048";"0,66"
"pomorskie";"sejmik";"220000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"3";"Dańczak";"Eugeniusz Antoni";"PL";"M";"53";"221203";"pomorskie";"Motarzyno";;;"N";"1640";"1,03"
"pomorskie";"sejmik";"220000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"12";"Dąbrowa";"Grzegorz Przemysław";"PL";"M";"38";"221205";"pomorskie";"Barcino";;;"N";"622";"0,39"
"pomorskie";"sejmik";"220000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"7";"Elzanowski";"Czesław Andrzej";"PL";"M";"60";"226301";"pomorskie";"Słupsk";;;"N";"1020";"0,64"
"pomorskie";"sejmik";"220000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"10";"Kazubski";"Stanisław Andrzej";"PL";"M";"57";"220109";"pomorskie";"Dolno";;;"N";"354";"0,22"
