"Unit";"Level";"TERYT";"Constituency";"List";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Citizenship";"Sex";"Age";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Endorsement";"Statement";"Elected";"Votes quantity";"Votes percent in constituency"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"14";"Broś";"Aneta Jadwiga";"PL";"K";"36";"260702";"świętokrzyskie";"Lemierze";;;"N";"332";"0,26"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"9";"Chuchmała";"Mariusz";"PL";"M";"33";"260701";"świętokrzyskie";"Ostrowiec Świętokrzyski";;;"N";"523";"0,41"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"1";"Grabowski";"Józef";"PL";"M";"65";"260701";"świętokrzyskie";"Ostrowiec Świętokrzyski";;;"T";"8421";"6,59"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"6";"Jakus";"Lucjan Jerzy";"PL";"M";"62";"260901";"świętokrzyskie";"Sandomierz";;;"N";"455";"0,36"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"10";"Kaczmarczyk";"Zuzanna Teresa";"PL";"K";"54";"260701";"świętokrzyskie";"Ostrowiec Świętokrzyski";;;"N";"573";"0,45"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"8";"Kowalska";"Anna";"PL";"K";"61";"260605";"świętokrzyskie";"Ożarów";;;"N";"688";"0,54"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"13";"Majcher-Kozieł";"Joanna Maria";"PL";"K";"36";"260605";"świętokrzyskie";"Ożarów";;;"N";"271";"0,21"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"16";"Miłek";"Łukasz Marcin";"PL";"M";"26";"260903";"świętokrzyskie";"Przybysławice";;;"N";"548";"0,43"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"11";"Oszczędłowski";"Marcin";"PL";"M";"47";"260607";"świętokrzyskie";"Tarłów";;;"N";"357";"0,28"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"5";"Pastuszko";"Krystyna Alicja";"PL";"K";"54";"260701";"świętokrzyskie";"Ostrowiec Świętokrzyski";;;"N";"1110";"0,87"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"3";"Powierża";"Bronisław Jerzy";"PL";"M";"65";"260901";"świętokrzyskie";"Sandomierz";;;"N";"1253";"0,98"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"4";"Sadkowska";"Ewelina";"PL";"K";"27";"260607";"świętokrzyskie";"Czekarzewice";;;"N";"672";"0,53"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"7";"Sojda";"Leszek Stanisław";"PL";"M";"56";"261207";"świętokrzyskie";"Staszów";;;"N";"508";"0,40"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"15";"Szymański";"Artur Daniel";"PL";"M";"32";"260606";"świętokrzyskie";"Rżuchów";;;"N";"348";"0,27"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"2";"Woszczyna";"Wiesław Kazimierz";"PL";"M";"53";"261206";"świętokrzyskie";"Rytwiany";;;"N";"3128";"2,45"
"świętokrzyskie";"sejmik";"260000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"12";"Zajączkowski";"Jerzy";"PL";"M";"72";"260701";"świętokrzyskie";"Ostrowiec Świętokrzyski";;;"N";"452";"0,35"
"świętokrzyskie";"sejmik";"260000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"3";"Adamczyk";"Maria Janina";"PL";"K";"59";"260701";"świętokrzyskie";"Ostrowiec Świętokrzyski";;;"N";"1802";"1,41"
"świętokrzyskie";"sejmik";"260000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"5";"Borzęcki";"Wojciech Tomasz";"PL";"M";"34";"260906";"świętokrzyskie";"Głazów";;;"T";"5456";"4,27"
"świętokrzyskie";"sejmik";"260000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"7";"Brudek";"Władysław Marcin";"PL";"M";"63";"261201";"świętokrzyskie";"Bogoria";;;"N";"1291";"1,01"
"świętokrzyskie";"sejmik";"260000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"11";"Duda";"Beata Małgorzata";"PL";"K";"40";"260705";"świętokrzyskie";"Kunów";;;"N";"1602";"1,25"
"świętokrzyskie";"sejmik";"260000";"1";"2";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"12";"Fura";"Adam Andrzej";"PL";"M";"57";"260904";"świętokrzyskie";"Sośniczany";;;"N";"1164";"0,91"
